iter	Logloss
0	0.6813870156
1	0.6691359106
2	0.6578611358
3	0.6469622346
4	0.6402211707
5	0.6315294728
6	0.6223830004
7	0.6165385264
8	0.6084188982
9	0.6029275561
10	0.5976438157
11	0.5926258419
12	0.5861037177
13	0.5811059108
14	0.5766060657
15	0.572853103
16	0.5682508348
17	0.5622914147
18	0.5574278995
19	0.5523303786
20	0.5494695759
21	0.546353502
22	0.5421070439
23	0.5392838864
24	0.536700643
25	0.5337705918
26	0.5298658043
27	0.5267080245
28	0.5238695927
29	0.5215399067
30	0.5186534664
31	0.5155413173
32	0.5125384813
33	0.5101928033
34	0.5073830108
35	0.5048159969
36	0.5032352886
37	0.5009841395
38	0.4987606178
39	0.4971960223
40	0.4955057436
41	0.49372115
42	0.4915753017
43	0.4901072903
44	0.4884105545
45	0.4868257967
46	0.4857260012
47	0.484185021
48	0.4826417361
49	0.4814175982
50	0.4803701414
51	0.4794459535
52	0.4782492376
53	0.477224153
54	0.4761778274
55	0.4753507741
56	0.4739213864
57	0.473061308
58	0.4718305308
59	0.4712144803
60	0.4702841176
61	0.4693797027
62	0.4683832543
63	0.4672688379
64	0.4661012483
65	0.4651789347
66	0.4645734574
67	0.4637232435
68	0.4629509499
69	0.4623217045
70	0.4613176714
71	0.4602334785
72	0.459471799
73	0.4585301326
74	0.4578357118
75	0.4573385131
76	0.4565179322
77	0.45588616
78	0.4554401073
79	0.4549503339
80	0.454503683
81	0.4538199273
82	0.4532058217
83	0.4523629062
84	0.4515954652
85	0.4510119532
86	0.4503210665
87	0.4497012764
88	0.4491087145
89	0.4483743323
90	0.4477826101
91	0.4474067324
92	0.4469357926
93	0.4462953529
94	0.4457133002
95	0.4451475976
96	0.4447611501
97	0.4442625804
98	0.443488271
99	0.4429159712
100	0.4421194373
101	0.4414448085
102	0.4411049775
103	0.4405498775
104	0.4401642694
105	0.4394752126
106	0.4390147295
107	0.4385064778
108	0.4380216544
109	0.4373543762
110	0.4368543429
111	0.436244255
112	0.4359381477
113	0.4355197613
114	0.4351190074
115	0.4346872591
116	0.4344353938
117	0.4341316052
118	0.4337646386
119	0.4334191423
120	0.4328921619
121	0.4326047845
122	0.4321968828
123	0.4317586029
124	0.4314345161
125	0.4310499734
126	0.430653961
127	0.4302901383
128	0.4300311114
129	0.4297714308
130	0.4292623061
131	0.4288710178
132	0.4283451594
133	0.4280098717
134	0.4274275134
135	0.4270128826
136	0.4266099116
137	0.4262063176
138	0.425773139
139	0.4254628044
